community_area,year,total_reqs,avg_resol_time,median_resol_time,perc_resol_less_than_1,perc_resol_1_min_1_hr,perc_resol_1_hr_12_hr,perc_resol_12_24_hr,perc_resol_1_3_day,perc_resol_3_7_day,perc_resol_7_14_day,perc_resol_14_30_day,perc_resol_1_3_month,perc_resol_3_12_month,perc_resol_1_year_plus,perc_resol_unresolved
4,2021,9502,28348.61116005034,4017.5333333333333,0.07935171542833087,0.055462007998316146,0.07493159334876869,0.10387286886971164,0.16607030098926542,0.11334455904020206,0.07261629130709324,0.09208587665754578,0.1081877499473795,0.053672910966112396,0.0003157230056830141,0.08008840244159124
40,2019,4606,36358.193432034255,1718.8333333333333,0.3430308293530178,0.05666521927920104,0.04537559704732957,0.03560573165436387,0.08706035605731655,0.09769865392965697,0.08011289622231871,0.08684324793747286,0.0985670864090317,0.054277029960920535,0.011940946591402518,0.002822405557967868
40,2020,5206,25901.318270221534,1299.9333333333334,0.3524779101037265,0.06358048405685747,0.042066845946984247,0.05263157894736842,0.09220130618517096,0.08720706876680753,0.08989627353054168,0.08605455243949289,0.08202074529389167,0.040914329619669614,0.005186323472915867,0.005762581636573185
40,2021,3910,19693.48897226012,2682.4333333333334,0.14040920716112532,0.10358056265984655,0.089769820971867,0.06982097186700767,0.11687979539641943,0.10358056265984655,0.08516624040920716,0.09283887468030691,0.10843989769820972,0.026854219948849106,0.0,0.06265984654731457
41,2019,3961,91113.97582544152,12644.3,0.010855844483716234,0.09492552385761172,0.06235799040646301,0.050997222923504164,0.12143398131784902,0.12294875031557688,0.10022721534965917,0.10628629134057056,0.1497096692754355,0.1206765968189851,0.04594799293107801,0.01363292097955062
41,2020,3560,52080.828068644565,5843.8,0.028370786516853933,0.13707865168539327,0.07640449438202247,0.07050561797752809,0.12471910112359551,0.1205056179775281,0.10056179775280899,0.09887640449438202,0.11123595505617978,0.075561797752809,0.021910112359550562,0.034269662921348316
41,2021,3748,23698.930093549974,4727.733333333334,0.016008537886873,0.1104589114194237,0.09284951974386339,0.08404482390608324,0.13260405549626467,0.11499466382070438,0.10725720384204909,0.10218783351120597,0.10725720384204909,0.03468516542155817,0.0008004268943436499,0.09685165421558165
42,2019,7136,61233.35042331029,8660.716666666667,0.18329596412556054,0.05367152466367713,0.046384529147982065,0.0406390134529148,0.09346973094170404,0.10229820627802691,0.08926569506726457,0.12401905829596413,0.14181614349775784,0.09543161434977579,0.022841928251121076,0.006866591928251121
42,2020,7802,39917.916967845376,4439.125,0.22442963342732633,0.07395539605229429,0.05344783388874647,0.05049987182773648,0.08600358882337862,0.09305306331709819,0.0974109202768521,0.11573955396052295,0.11561138169700078,0.06229172007177647,0.013458087669828249,0.014098948987439118
42,2021,6243,29921.242382734952,7208.55,0.06727534839019703,0.07015857760691975,0.0885792087137594,0.0659939131827647,0.11532916866890917,0.11164504244754124,0.09162261733141118,0.11997437129585135,0.1592183245234663,0.05141758769822201,0.00016017940092904052,0.05862566074002883
43,2019,13208,58116.31222256043,9796.1,0.04459418534221684,0.09691096305269534,0.07540884312537856,0.061629315566323443,0.11447607510599636,0.11326468806783767,0.104633555420957,0.12484857662023016,0.14248940036341612,0.09600242277407632,0.02066929133858268,0.0050726832222895216
43,2020,14067,42782.87774584698,8283.5,0.0509703561526978,0.1165849150494064,0.0673206796047487,0.06341081964882349,0.10677472097817588,0.11772232885476648,0.11381246889884127,0.13798251226274258,0.12134783535935167,0.07073292102082888,0.010449989336745574,0.02289045283287126
